,file_id,genus,species,name,download_url,file_name,duration,other_species_in_recording
0,217695,Tinamus,tao,Grey Tinamou,https://www.xeno-canto.org/217695/download,XC217695-CRYSOU29.mp3,47,"Lipaugus vociferans, Ramphastos tucanus"
1,353537,Tinamus,solitarius,Solitary Tinamou,https://www.xeno-canto.org/353537/download,"XC353537-Tinamus solitarius (Vieillot, 1819)6.mp3",96,
2,353525,Tinamus,solitarius,Solitary Tinamou,https://www.xeno-canto.org/353525/download,"XC353525-Tinamus solitarius (Vieillot, 1819).mp3",82,
3,113213,Tinamus,solitarius,Solitary Tinamou,https://www.xeno-canto.org/113213/download,XC113213-12090616'.mp3,124,
4,85442,Tinamus,solitarius,Solitary Tinamou,https://www.xeno-canto.org/85442/download,TINSOL06.mp3,41,"Cichlocolaptes leucophrus, Chiroxiphia caudata, Vireo chivi"
5,129750,Tinamus,major,Great Tinamou,https://www.xeno-canto.org/129750/download,XC129750-20110916-1733-1045-BR-MT-Cristalino Reserve-Great Tinamou.mp3,15,Crypturellus variegatus
6,85067,Tinamus,major,Great Tinamou,https://www.xeno-canto.org/85067/download,CRYVAR09.mp3,34,"Crypturellus variegatus, Cercomacra cinerascens"
7,85066,Tinamus,major,Great Tinamou,https://www.xeno-canto.org/85066/download,CRYVAR08.mp3,149,"Ramphastos vitellinus, Xiphorhynchus guttatus, Crypturellus variegatus"
8,452850,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/452850/download,"XC452850-Cinereous Tinamou, song, 190117-023.mp3",53,"Poecilotriccus latirostris, Pheugopedius genibarbis, Oryzoborus angolensis"
9,446610,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/446610/download,XC446610-Crypturellus cinereus - DaRec_20180527091521.mp3,32,
10,424163,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/424163/download,XC424163-Crypturellus cinereus. RO. ME- Felipe Arantes.mp3,36,"Sclerurus obscurior, Amazona farinosa"
11,333322,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/333322/download,XC333322-CRYCIN13.mp3,51,"Thamnophilus aethiops, Hypocnemis ochrogyna, Myrmoborus myotherinus, Myrmothera subcanescens, Pheugopedius genibarbis"
12,329091,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/329091/download,XC329091-Crypturellus cinereus(song)XapuriAC230613.mp3,37,
13,329090,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/329090/download,XC329090-Crypturellus cinereus(song)XapuriAC220613.mp3,32,
14,310825,Crypturellus,cinereus,Cinereous Tinamou,https://www.xeno-canto.org/310825/download,XC310825-CRYCIN28.mp3,118,"Pheugopedius genibarbis, Hylophilus semicinereus, Pygiptila stellaris"
